Agency,OfficeCode,ClientName,DebtorsAccountCode,MediaName,ClientCode,ProductCode,ProductName,CampaignCode,CampaignName,BuyMonth,BuySerial,BookingCategoryShortname,SupplierName,BuyerName,BuyerPID,BuyDate,BookedDate,LastAmendedInvoice,CampaignReference,ClientReference,BillComments,PO,PO_Reference,Gross,MediaDiscountPercentage,Payable,Paid,UnPaid,AgencyCommission,Billable,Billed,UnBilled,LevyBillable,Unbilled Client Cost,VATBillable,Vouchered,AgencyCommentBy,Action,AgencyCommentDate,Bill,LocalCurrencyCode,AccountExchangerate,BillableCurrency,ASBOF / BASBOF,BilledCurrency,UnbilledCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00062541,,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00062541,,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00062541,,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY LES BEIGES,4,CHANEL_LES BEIGE HERO_SO,Jun-24,,BiddSocial,PINTEREST,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY - MAKE UP,4,C50/07_CHANEL_SOCIAL_BEA,Jun-24,,BiddSocial,FACEBOOK,,,,,,,PO00062544:SOCIAL,,PO00062544,PO00062544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY - MAKE UP,4,C50/07_CHANEL_SOCIAL_BEA,Jun-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,PO00062544:SOCIAL,,PO00062544,PO00062544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,BEAUTY - MAKE UP,4,C50/07_CHANEL_SOCIAL_BEA,Jul-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,PO00062544:SOCIAL,,PO00062544,PO00062544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,PINTEREST,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,PINTEREST,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
